roadnumber	country
MA-122	Brasil
MA-123	Brasil
MA-125	Brasil
MA-127	Brasil
MA-132	Brasil
MA-134	Brasil
MA-138	Brasil
MA-140	Brasil
MA-201	Brasil
MA-202	Brasil
MA-203	Brasil
MA-204	Brasil
MA-206	Brasil
MA-207	Brasil
MA-209	Brasil
MA-211	Brasil
MA-212	Brasil
MA-214	Brasil
MA-216	Brasil
MA-222	Brasil
MA-225	Brasil
MA-226	Brasil
MA-227	Brasil
MA-228	Brasil
MA-229	Brasil
MA-230	Brasil
MA-235	Brasil
MA-240	Brasil
MA-245	Brasil
MA-247	Brasil
MA-256	Brasil
MA-259	Brasil
MA-262	Brasil
MA-270	Brasil
MA-272	Brasil
MA-274	Brasil
MA-275	Brasil
MA-280	Brasil
MA-303	Brasil
MA-304	Brasil
MA-305	Brasil
MA-306	Brasil
MA-307	Brasil
MA-310	Brasil
MA-311	Brasil
MA-313	Brasil
MA-314	Brasil
MA-317	Brasil
MA-318	Brasil
MA-320	Brasil
MA-324	Brasil
MA-325	Brasil
MA-326	Brasil
MA-331	Brasil
MA-332	Brasil
MA-338	Brasil
MA-339	Brasil
MA-342	Brasil
MA-345	Brasil
MA-349	Brasil
MA-362	Brasil
MA-366	Brasil
MA-369	Brasil
MA-373	Brasil
MA-374	Brasil
MA-375	Brasil
MA-376	Brasil
MA-378	Brasil
MA-380	Brasil
MA-402	Brasil
MG-003	Brasil
MG-005	Brasil
MG-006	Brasil
MG-008	Brasil
MG-009	Brasil
MG-010	Brasil
MG-012	Brasil
MG-013	Brasil
MG-014	Brasil
MG-018	Brasil
MG-019	Brasil
MG-020	Brasil
MG-021	Brasil
MG-022	Brasil
MG-023	Brasil
MG-028	Brasil
MG-030	Brasil
MG-040	Brasil
MG-050	Brasil
MG-060	Brasil
MG-066	Brasil
MG-100	Brasil
MG-105	Brasil
MG-108	Brasil
MG-111	Brasil
MG-114	Brasil
MG-116	Brasil
MG-117	Brasil
MG-120	Brasil
MG-122	Brasil
MG-123	Brasil
MG-124	Brasil
MG-126	Brasil
MG-128	Brasil
MG-129	Brasil
MG-130	Brasil
MG-132	Brasil
MG-133	Brasil
MG-135	Brasil
MG-145	Brasil
MG-153	Brasil
MG-154	Brasil
MG-155	Brasil
MG-157	Brasil
MG-158	Brasil
MG-161	Brasil
MG-164	Brasil
MG-167	Brasil
MG-170	Brasil
MG-173	Brasil
MG-176	Brasil
MG-179	Brasil
MG-181	Brasil
MG-184	Brasil
MG-187	Brasil
MG-188	Brasil
MG-190	Brasil
MG-202	Brasil
MG-205	Brasil
MG-208	Brasil
MG-211	Brasil
MG-214	Brasil
MG-217	Brasil
MG-220	Brasil
MG-223	Brasil
MG-226	Brasil
MG-229	Brasil
MG-230	Brasil
